# wavelength   electrons_per_sec       
  409.156      1.04187E-5              
  409.429      1.0520499999999999E-5   
  409.701      1.0539799999999999E-5   
  409.974      1.0511500000000001E-5   
  410.247      1.05223E-5              
  410.519      1.06402E-5              
  410.792      1.09107E-5              
  411.064      1.13487E-5              
  411.337      1.18708E-5              
  411.61       1.2388799999999999E-5   
  411.882      1.2858000000000001E-5   
  412.155      1.3251900000000001E-5   
  412.427      1.35696E-5              
  412.7        1.3859300000000001E-5   
  412.973      1.4138599999999999E-5   
  413.245      1.44116E-5              
  413.518      1.46737E-5              
  413.79       1.4926900000000001E-5   
  414.063      1.51988E-5              
  414.336      1.54861E-5              
  414.608      1.57955E-5              
  414.881      1.61784E-5              
  415.154      1.66842E-5              
  415.426      1.7271199999999998E-5   
  415.699      1.79301E-5              
  415.971      1.8631E-5               
  416.244      1.92384E-5              
  416.517      1.96687E-5              
  416.789      1.99066E-5              
  417.062      1.99589E-5              
  417.334      1.99022E-5              
  417.607      1.98459E-5              
  417.88       1.98784E-5              
  418.152      2.0047000000000003E-5   
  418.425      2.0306000000000002E-5   
  418.697      2.05863E-5              
  418.97       2.09083E-5              
  419.243      2.12471E-5              
  419.515      2.1686000000000002E-5   
  419.788      2.23983E-5              
  420.06       2.34374E-5              
  420.333      2.4771499999999998E-5   
  420.606      2.6333099999999997E-5   
  420.878      2.8035899999999997E-5   
  421.151      2.97034E-5              
  421.424      3.10978E-5              
  421.696      3.20514E-5              
  421.969      3.2608000000000004E-5   
  422.241      3.28694E-5              
  422.514      3.294E-5                
  422.787      3.3071700000000004E-5   
  423.059      3.34427E-5              
  423.332      3.39787E-5              
  423.604      3.4554499999999996E-5   
  423.877      3.51409E-5              
  424.15       3.56781E-5              
  424.422      3.60804E-5              
  424.695      3.6356E-5               
  424.967      3.64817E-5              
  425.24       3.64546E-5              
  425.513      3.63364E-5              
  425.785      3.6223700000000004E-5   
  426.058      3.6155599999999997E-5   
  426.33       3.6105299999999995E-5   
  426.603      3.60212E-5              
  426.876      3.58544E-5              
  427.148      3.5616E-5               
  427.421      3.5402E-5               
  427.694      3.5305E-5               
  427.966      3.53452E-5              
  428.239      3.54151E-5              
  428.511      3.54348E-5              
  428.784      3.5339499999999996E-5   
  429.057      3.50453E-5              
  429.329      3.4455E-5               
  429.602      3.35868E-5              
  429.874      3.25743E-5              
  430.147      3.16979E-5              
  430.42       3.1457799999999996E-5   
  430.692      3.2193399999999996E-5   
  430.965      3.3903E-5               
  431.237      3.61945E-5              
  431.51       3.85141E-5              
  431.783      4.03144E-5              
  432.055      4.1358E-5               
  432.328      4.1808300000000004E-5   
  432.6        4.2033199999999996E-5   
  432.873      4.230400000000001E-5    
  433.146      4.2674000000000005E-5   
  433.418      4.30987E-5              
  433.691      4.34706E-5              
  433.964      4.36707E-5              
  434.236      4.37535E-5              
  434.509      4.3839E-5               
  434.781      4.39971E-5              
  435.054      4.42974E-5              
  435.327      4.48775E-5              
  435.599      4.57094E-5              
  435.872      4.6681E-5               
  436.144      4.76654E-5              
  436.417      4.84511E-5              
  436.69       4.88059E-5              
  436.962      4.86739E-5              
  437.235      4.80644E-5              
  437.507      4.70357E-5              
  437.78       4.5746200000000006E-5   
  438.053      4.4443799999999996E-5   
  438.325      4.3421E-5               
  438.598      4.28695E-5              
  438.87       4.2811E-5               
  439.143      4.31329E-5              
  439.416      4.3625800000000005E-5   
  439.688      4.40258E-5              
  439.961      4.42164E-5              
  440.234      4.44254E-5              
  440.506      4.48471E-5              
  440.779      4.55557E-5              
  441.051      4.64446E-5              
  441.324      4.7426300000000004E-5   
  441.597      4.82952E-5              
  441.869      4.8962500000000004E-5   
  442.142      4.94476E-5              
  442.414      4.97912E-5              
  442.687      5.0035E-5               
  442.96       5.0229400000000004E-5   
  443.232      5.0446400000000005E-5   
  443.505      5.08033E-5              
  443.777      5.15144E-5              
  444.05       5.2602099999999996E-5   
  444.323      5.3841E-5               
  444.595      5.5052899999999996E-5   
  444.868      5.6175100000000004E-5   
  445.14       5.72023E-5              
  445.413      5.8381499999999997E-5   
  445.686      6.02489E-5              
  445.958      6.3208E-5               
